title,data
Against the Ropes,Romance Drama biography sport fictional story inspire North America famous female boxing promoter Jackie Kallen struggle survive succeed male dominate sport
Superman III,Comedy Action Adventure Fantasy Science-Fiction saving-the-world dc-comics super-computer identity-crisis loss-of-powers sequel superhero based-on-comic-book hacking super-powers superhuman-strength aim defeat Man Steel wealthy executive Ross Webster hire bumble brilliant Gus Gorman develop synthetic kryptonite yield unexpected psychological effect installment 1980 Superman franchise rekindle romance high school sweetheart save Superman contend powerful supercomputer
Grudge Match,Comedy father-son-relationship sport rivalry elderly elderly-man pair age boxing rival coax retirement fight final bout 30 year match
Red Cliff,Adventure Drama Action flaming-arrow chinese-history strategy carrier-pigeon spear-throwing wall-of-fire white-dove casualty-of-war arrow-in-back chinese-tradition chinese-painting broken-arrow early century land Wu invade warlord Cao Cao million soldier ruler Wu Sun Quan rival warlord Liu Bei help army badly outnumber Wu strategist Zhou Yu Cao Cao army unused battle sea chance exploit weakness properly
Sweet Home Alabama,Comedy Romance new-york marriage-proposal alabama career-woman fashion-designer New York fashion designer Melanie Carmichael suddenly find engage city eligible bachelor Melanie past hold secret include Jake redneck husband marry high school refuse divorce bind determine end contentious relationship Melanie sneak home Alabama confront past
The Ugly Truth,Comedy Romance romantic-comedy romance tv-morning-show relationship opposites-attract romantically challenge morning producer reluctantly embroil series outrageous test chauvinistic correspondent prove theory relationship help find love clever ploy lead unexpected result
Sgt. Bilko,Comedy Family gulf-war u.s.-army based-on-tv-series military-spoof army know churn lean mean fighting machine intent protect great nation Martin inexplicable incorrigible invicible sgt Ernie bilko leader ragtag group sorry soldier enlist armed force
Spy Kids 2: The Island of Lost Dreams,Action Adventure Family spy experiment island secret-organization wretch weapon rivalry scientist explore adventure Carmen Juni Cortez join family spy business Level 2 OSS agent new mission save world mad scientist live volcanic island populate imaginative menagerie creature bizarre island Cortez gadget work rely wit survive save day
Star Trek: Generations,Science-Fiction Action Adventure Thriller based-on-tv-series death exploding-planet mountain-cabin solar-system Captain Jean Luc Picard crew Enterprise d find odd renegade scientist Soran destroy entire star system man help Picard stop Soran scheme dead seventy year
The Grandmaster,Action Drama History martial-arts kung-fu biography kung-fu-master Ip Man peaceful life Foshan change Gong Yutian seek heir family Southern China Ip Man meet Gong Er challenge sake regain family honor second sino japanese War Ip Man Hong Kong struggle provide family mean time Gong Er choose path vengeance father kill Ma San
Water for Elephants,Drama Romance clown elephant-trainer veterinary captivate Depression era melodrama impetuous veterinary student Jacob Jankowski join celebrated circus animal caretaker face wrench dilemma transfix angelic marry performer Marlena
Dragon Nest: Warriors' Dawn,Adventure Family Fantasy Animation land Altera observe uneasy peace year Humans Elves evil beast loyal legendary Black Dragon Black Dragon begin stir hibernation send Beasts marching Altera beast conquest perilously close small group Humans Elves unite try find secret hide road Black Dragon cave destroy fate hand young warrior Lambert summon confidence skill face Black Dragon lose
The Hurricane,Drama prison boxer boxing-match boxing-school biography story Rubin Hurricane Carter boxer wrongly imprison murder people aid fight prove innocence
Enough,Drama Thriller waitress wife-husband-relationship violent-husband self-defense violence-against-women suspense marry-rich abusive-husband working class waitress Slim think enter life domestic bliss marry Mitch man dream arrival child picture perfect life shatter discover Mitch hide possessive dark control abusive alter ego turn trust love tranquility terror terrify child safety slim flee daughter Relentless pursuit enlist aid lethal henchman Mitch continually stalk prey family
Heartbreakers,Crime Comedy Romance cons-and-scams Max Page brilliant mother daughter con team grift fine science Max target wealthy willing man marry page seduce Max catch husband act palimony city easy mark
Paul Blart: Mall Cop 2,Action Comedy Family shopping-mall las-vegas security-guard security guard Paul Blart head Las Vegas attend Security Guard Expo teenage daughter Maya depart college convention inadvertently discover heist Blart apprehend criminal
Angel Eyes,Drama Romance Thriller car-crash police-officer story seemingly unlikely couple cross path life threaten circumstance destine meet save life twice
Joe Somebody,Comedy profession karate daughter beförderung ex-wife parking slap underappreciated video specialist Joe Scheffer brutally humiliate office bully Mark McKinney daughter Joe begin quest personal redemption proceed endure personal martial art lesson b action star news spread rematch Mark Joe suddenly find center attention ascend corporate ladder grow popularity determined life force reckon
The Ninth Gate,Horror Mystery Thriller new-york obsession passion-for-collection southern-france mephisto antiquary book picture-puzzle castle satanism millionaire expense pay international search rare copy book Gates Shadow Kingdom bring unscrupulous book dealer deep world murder double deal satanic worship
Extreme Measures,Drama Thriller new-york surgeon british suspense morgue hospital medical doctor medical-research emergency-room missing-body thriller Guy Luthan Hugh Grant british doctor work hospital New York start unwanted enquiry body man die emergency room disappear trail lead Luthan door eminent surgeon Dr Lawrence Myrick Gene Hackman Luthan soon find danger people want hospital secret remain undiscovered
Rock Star,Music Drama Comedy rock-star success discontentedness-and-displeasedness heavy-metal relationship-problems Rock Star tell story Chris Cole rock band Steel Dragon Cole photocopi technician day lead singer Steel Dragon tribute band Blood Pollution night internal struggle Steel Dragon band member culminate firing lead singer Bobby Beers starting recruitment session find new vocalist loosely inspire true story heavy metal band Judas Priest
Precious,Drama aids illiteracy song unwillingly-pregnant balloon school crying motorcycle Set Harlem 1987 Claireece precious Jones 16 year old african american girl bear life want pregnant second time absent father home wait hand foot mother angry woman abuse emotionally physically school chaotic precious reach ninth grade good mark secret read
White Squall,Action Drama sailing-trip diary sailing survival coming-of-age teenage-boy discipline squall sail ship-captain caribbean male-bonding seasickness storm-at-sea 1960s teenage boy discover discipline camaraderie ill fate sailing voyage
The Thing,Horror Mystery Science-Fiction ice space-marine paranoia snow-storm norwegian research-station remake alien antarctica shape-shifting-alien sled-dogs scientist Antarctic confront shape shift alien assume appearance people kill
Riddick,Science-Fiction Action Thriller dystopia revenge alien planet imax betray kind leave dead desolate planet Riddick fight survival alien predator powerful dangerous soon bounty hunter galaxy descend Riddick find pawn great scheme revenge enemy right want Riddick unleash vicious attack vengeance return home planet Furya save destruction
Switchback,Action Adventure Mystery Thriller loss-of-son serial-killer train FBI agent Dennis Quaid try catch serial killer kidnap son
Texas Rangers,Action Western underwear tiger racial-segregation year Civil War end Governor Texas ask Leander McNelly McDermott form company Rangers help uphold law mexican border veteran war Patrick Travis recruit young man Van Der Beek Kutcher Raymond little experience gun police crime
City of Ember,Adventure Family Fantasy underground-world mayor adventure post-apocalyptic dystopia puzzle box pipeworks generation people City Ember flourish amazing world glitter light Ember powerful generator fail great lamp illuminate city start flicker teenager race time search Ember clue unlock ancient mystery city existence light forever
The Master,Drama post-traumatic-stress--disorder sexual-obsession postwar-period drifter alcoholic cult-leader scientology religious-cult charismatic-leader right-hand-man Freddie volatile heavy drinking veteran suffer post traumatic stress disorder find semblance family stumble ship Lancaster Dodd charismatic leader new religion form World War II
Virgin Territory,Adventure Action Comedy Romance film set Tuscany Black Death Decameron young Florentines refuge plague instead tell story lusty adventure bawdy exchange romance swordplay randy nun saracen pirate sexy cow
The Express,Drama american-football college biography sport syracuse-university base incredible true story Express follow inspirational life college football hero Ernie Davis African American win Heisman Trophy
The 5th Wave,Adventure Science-Fiction based-on-novel dystopia alien alien-invasion human-subjugation environmental-disaster based-on-young-adult-novel 16 year old Cassie Sullivan try survive world devastate wave alien invasion decimate population knock mankind Stone Age
Creed,Drama underdog sport spin-off underground-fighting motivational-speaker boxing World Heavyweight Champion Rocky Balboa serve trainer mentor Adonis Johnson son late friend rival Apollo Creed
The Town,Crime Drama Thriller based-on-novel money-laundering ambulance boston massachusetts bank-manager drug-dealer florist flower-shop hold-up-robbery volunteer stolen-money friends car-set-on-fire boston-garden police-chase best-friend fenway-park Doug MacRay longtime thief smart rest crew look chance exit game bank job lead group kidnap attractive branch manager role monitor burgeon relationship threaten unveil identity Doug crew FBI Agent case
What to Expect When You're Expecting,Romance Comedy Drama based-on-novel adoption pregnant miscarriage expectant-father pregnant-wife vomiting expecting-twins open-air-cinema giving-birth challenge impending parenthood turn life couple upside celebrity unprepared surprise demand pregnancy hormone wreak havoc baby crazy author husband try outdo father expect twin young trophy wife photographer husband sure wife adoption plan time hook result surprise pregnancy rival food truck owner
Burn After Reading,Comedy Drama blackmail paranoia fitness-training plastic-surgery autobiography memory corpse divorce gym disc ex-priest disc contain memoir CIA analyst fall hand Linda Litzke Chad Feldheimer gym employee chance money life change cosmetic surgery predictably event whirl control duo doofus orbit
Nim's Island,Adventure Comedy Family Fantasy fictional-place exotic-island shipwreck cruise volcano e-mail liana daughter turtle author talking-animal pirate woman-director iguana sea-lion young girl inhabit isolated island scientist father communicate reclusive author novel read
Rush,Drama Action world-champion sport racing-car formula-1 automobile-racing based-on-true-events biographical drama center rivalry Formula 1 driver James Hunt Niki Lauda 1976 Formula motor race season
Magnolia,Drama farewell regret parents-kids-relationship suicide-attempt becoming-an-adult loss-of-father dying-and-death chance child-prodigy daughter unsociability reconciliation epic mosaic interrelated character search happiness forgiveness meaning San Fernando Valley
Cop Out,Action Comedy Crime new-york money-laundering daughter police undercover-cop locked-in-trunk-of-car baseball-card wedding police-officer duringcreditsstinger detective Jimmy Paul despite year partner like polar opposite especially Paul unpredictable antic suspend pay strap cash try pay daughter wedding Jimmy decide sell rare baseball card worth thousand unfortunately collector shop rob card vanishe crook Paul Jimmy end rogue track card drug ring theft time backup
How to Be Single,Comedy Romance new-york based-on-novel one-night-stand single New York City lonely heart seek right match Alice Robin Lucy Meg Tom David common need learn single world fill evolve definition love
Dolphin Tale,Drama Family dolphin boy trap summer tail story center friendship boy dolphin tail lose crab trap
Twilight,Adventure Fantasy Drama Romance soulmates vampire forbidden-love immortality trust desire duringcreditsstinger woman-director interspecies-romance based-on-young-adult-novel fang-vamp Bella Swan small town Pacific Northwest live father start school meet reclusive Edward Cullen mysterious classmate reveal 108 year old vampire despite Edward repeat caution Bella help fall love fatal endanger life coven bloodsucker try challenge cullen clan
John Q,Drama Thriller Crime father-son-relationship chicago heart-attack kidnapping heart-disease hostage-taking hospital John Quincy Archibald father husband son diagnose enlarge heart find receive transplant HMO insurance cover decide hospital patient hostage hospital son donor list
Blue Streak,Action Comedy Crime robbery diamant police-operation police-everyday-life thief police-officer police-station Miles Logan jewel thief hit big time steal huge diamond year jail come find hide diamond police building build time robbery attempt regain diamond pose lapd detective
We're the Millers,Comedy Crime mexico police gang drug-smuggling drug family veteran pot dealer create fake family plan huge shipment weed U.S. Mexico
The Inhabited Island,Action Fantasy Science-Fiction Thriller based-on-novel brother-sister-relationship sword-fight spaceship strugatsky brainwashing big-city girlfriend-from-china hard-to-kill outer-space testting testing head-of-state threshold 22nd century furrow space protagonist Free Search Group emergency landing unknown planet stay People live planet remain stone level 20th century social problem miserable ecology shaky world
Breakdown,Drama Action Thriller california bank ransom car-breakdown kidnapping donut highway barn vacation stranded deception murder suspense redneck diner extortion captive car-chase desert moving trucker SUV break remote southwestern road Jeff Taylor let wife Amy hitch ride trucker help return Jeff fix suv track trucker tell police Amy Johnathan Mostow tense thriller follow Jeff desperate search wife eventually uncover small town murderous secret
Never Say Never Again,Adventure Action Thriller video-game spy bahamas british stealing scuba-diving scuba british-secret-service James Bond return secret agent 007 time battle evil organization SPECTRE bond defeat Largo steal atomic warhead nuclear blackmail Bond ally Largo girlfriend willowy Domino fall Bond seek revenge time Sean Connery Majesty secret Agent 007
Hot Tub Time Machine,Science-Fiction Comedy Adventure female-nudity one-night-stand time-travel time-machine incest-overtones hot-tub peter-pan-syndrome forty-something skiing malfunctioning time machine ski resort man 1986 friend nephew relive fateful night change sure nephew bear
Dolphin Tale 2,Family Drama dolphin aquarium swimming team people save Winter life reassemble wake surrogate mother pass order find companion remain Clearwater Marine Hospital
Reindeer Games,Thriller prison robbery role-reversal extramarital-affair assume dead cellmate identity girlfriend ex con find reluctant participant casino heist
A Man Apart,Action Drama repayment arbitrary-law cop loss-of-wife Vetter wife kill botched hit organize Diablo seek revenge responsible process Vetter Hicks fight way chain Diablo easy Vetter focus revenge
Aloha,Drama Comedy Romance love-triangle hawaii satellite military duringcreditsstinger communication celebrated military contractor return site great career triumph connect long ago love unexpectedly fall hard charge Air Force watchdog assign
Ghosts of Mississippi,History Drama assassin widow trial civil-rights activist ghost Mississippi drama cover final trial assassin Bryon De La Beckwith 60 civil right leader Medgar Evers begin murder event surround initial trial end hung jury movie cover District Attorney Bobby DeLaughters transformation alliance Myrlie Evers wife Medgar Evers involved bring Beckwith trial time 30 year later character play actual participant story
Snow Falling on Cedars,Drama Romance journalist japanese wife fisherman war bias trial washington-state japanese-american japanese american fisherman kill neighbor Carl sea 1950 race figure trial reporter Ishmael
The Rite,Drama Thriller Horror vatican violinist hospital miscarriage exorcist roman-catholic seminary limp toad clergy formalin walking-cane seminary student Michael Kovak Colin O'Donoghue reluctantly attend exorcism school Vatican ’ Rome Michael meet unorthodox priest Father Lucas Anthony Hopkins introduce dark faith uncover devil reach holy place Earth
Gattaca,Thriller Science-Fiction Mystery Romance paraplegic suicide-attempt cheating dna spaceman new-identity heart-disease false-identity blood-sample biotechnology space-mission dystopia investigation genetics hostility exercise eugenics dystopic-future science fiction drama future society era indefinite eugenic human set life course depend dna young Vincent Freeman bear condition prevent space travel determined infiltrate GATTACA space program
Isn't She Great,Drama Comedy autism based-on-article unsuccessful actress successful authoress biography Jacqueline Susann famed writer Valley Dolls trashy novel face fail career Susann meet successful promoter husband failure place commercial tv quiz hit idea writer pre-60 book look trash non printable sexual revolution hit audience bear book story hide scene story Susan life include autistic son continue bout cancer hide death
Space Chimps,Animation Family space-marine chimp space aftercreditsstinger circus monkey Ham III work circus regularly shoot canon live shadow father legacy natural bear rebel authority Ham III initially reluctant dangerous space mission rescue lose space probe away lot right stuff style astro training alongside highly prepare chimp Luna Titan
Head of State,Comedy usa black-people usa-president presidential-election election-campaign presidential candidate die unexpectedly middle campaign democratic party unexpectedly pick Washington D.C. alderman Mays Gilliam Rock replacement
The Hangover,Comedy underwear tiger stag-night hangover lost-weekend bag-over-head chapel hit-with-tire-iron memory-loss las-vegas duringcreditsstinger elevator friend finally come raucous night bachelor party revelry find baby closet tiger bathroom locate good friend Doug suppose tie knot launch frantic search Doug trio persevere nasty hangover try church time
Ip Man 3,Action Drama History biography band brutal gangster lead crooked property developer play city Master Ip force stand
Austin Powers: The Spy Who Shagged Me,Adventure Comedy Crime Science-Fiction saving-the-world moon submarine clone spy cia showdown android usa-president exotic-island cat lasergun nasa undercover space-marine car-journey auto time-travel supermodel single aftercreditsstinger duringcreditsstinger diabolical genius Dr. Evil travel time steal superspy Austin Powers mojo Austin return swingin 60 help american agent Felicity Shagwell stop dastardly plan Austin face Dr. Evil army minion save world unbelievably groovy way
Batman,Fantasy Action double-life dc-comics dual-identity chemical crime-fighter fictional-place gotham-city superhero super-powers Dark Knight Gotham City begin war crime major enemy clownishly homicidal Joker seize control Gotham underworld
There Be Dragons,Drama spanish-civil-war priest independent-film catholic dying saint martyrdom arise horror Spanish Civil War candidate canonization investigate journalist discover estranged father deep dark devastating connection saint life research life Josemaria Escriva controversial founder Opus Dei young journalist Robert uncover hide story estranged father Manolo journey dark terrible secret family past
Lethal Weapon 3,Adventure Action Comedy Thriller Crime rookie-cop dog-biscuit shooting-practice sitting-on-a-toilet judo-throw police-psychologist buddy-cop firing-range aftercreditsstinger archetypal buddy cop Riggs Murtaugh round high stake action time set collective sight bring Los Angeles police lieutenant turn black market weapon dealer Lorna Cole join beautiful hardnose internal affairs sergeant catch Riggs eye
The Blind Side,Drama american-football adoption education private-school sport american-football-player duringcreditsstinger oversized African American Michael Oher teen track broken home sleep age 16 affluent memphis couple Michael embark remarkable rise play NFL
Spy Kids,Action Comedy Family Adventure double-life parents-kids-relationship brother-sister-relationship loss-of-parents secret-agent robot Carmen Juni think parent boring little know day Gregorio Ingrid Cortez secret agent respective country life raise child disappearance old colleague force Cortez return retirement count Carmen Juni join family business
Horrible Bosses,Comedy Crime conspiracy-of-murder bad-boss employee death-of-father stakeout duringcreditsstinger Nick Kurt Dale thing daily grind tolerable grind intolerable boss dust quitting option benefit drink dubious advice hustling ex con friend devise convoluted seemingly foolproof plan rid respective employer permanently
True Grit,Drama Adventure Western loss-of-father father-murder texas-ranger alcoholism betrayal follow murder father hire hand Tom Chaney 14 year old farm girl Mattie Ross set capture killer aid hire tough U.S. Marshal find man true grit Reuben J. Rooster Cogburn Mattie insist accompany Cogburn drinking sloth generally reprobate character augment faith wish join trek Indian Nations search Chaney join Texas Ranger LaBoeuf want Chaney purpose unlikely trio find danger adventure journey grit test
The Devil Wears Prada,Comedy Drama Romance paris journalist journalism world-of-fasion fashion-journal assistant job-entrant job-interview editor-in-chief Devil wear Prada young journalist New York work fashion industry boss extremely demanding cruel let succeed fit high class elegant look magazine want good journalist
Star Trek: The Motion Picture,Science-Fiction Adventure Mystery artificial-intelligence uss-enterprise starfleet san-francisco self-sacrifice spacecraft klingon vulcan space-opera destructive space entity spot approach Earth Admiral Kirk resume command Starship Enterprise order intercept examine hopefully stop
Identity Thief,Comedy Crime mild mannered businessman learn identity steal hit road attempt foil thief trip path deceptively harmless look woman
Cape Fear,Crime Thriller prison child-abuse rape small-town daughter police revenge lawyer cigar-smoking fear dog rapist Sam Bowden small town corporate attorney Max Cady tattooed cigar smoke bible quote psychotic rapist common fourteen year ago Sam public defender assign Max Cady rape trial error hide document illiterate client acquit cagey bibliophile Cady release intend teach Sam Bowden family thing loss
21,"Drama Crime gambling card-game professor harvard-university cohabitant college girlfriend studies dormitory friendship blackjack Ben Campbell young highly intelligent student M.I.T. Boston strive succeed want scholarship transfer Harvard School Medicine desire doctor Ben learn afford $ 300,000 year schooling come poor working class background evening Ben introduce unorthodox math professor Micky Rosa small secretive club Students Jill Choi Kianna Fisher train Professor Rosa skill card counting blackjack"
Trainwreck,Comedy alcohol one-night-stand having think monogamy possible commitment phobic career woman face fear meet good guy
Guess Who,Comedy Romance black-people jealousy parents-in-law trouble fiancée fiancé African american woman meet skepticism suspicion father home important introduction wedding approach Dad come term future son law
The English Patient,Drama Romance War cairo egypt identity amnesia world-war-ii burn landmine expedition cave sandstorm royal-geographic-society cave-painting prisoners-of-war map mine-clearer hearing desert-scientist intelligence traitor mural-painting airplane secret-love begin 1930 English Patient tell story Count Almásy hungarian map maker employ Royal Geographical Society chart vast expanse Sahara Desert prominent explorer World War II unfold Almásy enter world love betrayal politic later reveal series flashback Almásy death bed horribly burn plane crash
L.A. Confidential,Crime Drama Mystery Thriller corruption detective shotgun morgue f-word domestic-violence corpse crime district-attorney bandage movie-star man-with-glasses knife-in-thigh good-cop-bad-cop switchblade call-girl 1950s falsifying detective corrupt brutal L.A. police force 1950 use differing method uncover conspiracy shotgun slaying patron night diner
Sky High,Adventure Comedy Family hero loyalty mockery supernatural-powers high-school mission super-powers teen-superheroes Set world superhero commonly know accept young Stronghold son Commander Jetstream try find balance normal teenager extraordinary
In & Out,Comedy Romance gay homophobia coming-out lgbt midwestern teacher question sexuality student comment Academy Awards
Species,Science-Fiction Horror Action telepathy dna paranoia genetics instinct femme-fatale alien on-the-run decapitation sexual-attraction los-angeles cocoon genetic-engineering scientists alien-dna 1993 Search Extra Terrestrial Intelligence Project receive transmission detail alien dna structure instruction splice human DNA result Sil sensual deadly creature change beautiful woman armour plate killing machine blink eye
A Nightmare on Elm Street,Horror child-murderer sleep nightmare supernatural slasher teenager trapped alcoholic boiler-room booby-trap disfigurement medical-test dreams teenager small town drop like fly apparently grip mass hysteria cause suicide cop daughter Nancy Thompson Heather Langenkamp trace cause child molester Fred Krueger Robert Englund burn alive angry parent year Krueger come dream killer child claim life revenge Nancy boyfriend Glen Johnny Depp devise plan lure monster realm nightmare real world
The Cell,Horror Science-Fiction Thriller drowning therapist virtual-reality serial-killer psychopathy fbi-agent psychotherapist journey inside comatose serial killer hope save late victim
The Man in the Iron Mask,Action Adventure Drama france swordplay mask musketeer year pass Musketeers Aramis Athos Porthos fight friend D'Artagnan tyrannical King Louis use power wreak havoc kingdom twin brother Philippe remain imprison Musketeers reunite abduct Louis replace Philippe
Secretariat,Drama horse-race horseback-riding biography housewife mother Penny Chenery agree ail father Virginia base Meadow Stables despite lack horse race knowledge odd Chenery help veteran trainer Lucien Laurin manage navigate male dominate business ultimately foster triple Crown winner 25 year
TMNT,Adventure Animation Comedy Family new-york brother-brother-relationship journalist martial-arts crime-fighter secret-identity mutant turtle love based-on-comic-book reunion brother-against-brother defeat old arch nemesis Shredder Turtles grow apart family struggle rat sensei Splinter worried strange thing begin brew New York City
Radio,Drama biography friendship sport high school football coach Harold Jones befriend Radio mentally challenge man student T.L. Hanna High School Anderson South Carolina friendship extend decade Radio transform shy tormented man inspiration community
Friends with Benefits,Romance Comedy funeral friends hospital aftercreditsstinger duringcreditsstinger Jamie New York base executive recruiter entice Dylan art director Los Angeles job New York office GQ magazine find common fast friend feeling jade number broken romance Dylan Jamie decide ready quit look true love focus fun complication unfold good pal add sex relationship
Neighbors 2: Sorority Rising,Comedy alcohol college party sequel sorority neighbor family fraternity bathroom-humor sorority door home Mac Kelly Radner young child Radner enlist nemesis fraternity help battle raucous sister
Saving Mr. Banks,Comedy Drama History biography animation writer moviemaking author P.L. traver travel London Hollywood Walt Disney Pictures adapt novel Mary Poppins big screen
Malcolm X,Drama History islam new-york prison assassination ku-klux-klan muslim police-brutality beach koran jail-guard prison-cell bible biography martin-luther-king nation-of-islam civil-rights-movement- mekka pilgrimage cabriolet police historical-figure malcolm-x biopic controversial influential Black Nationalist leader
This Is 40,Comedy wife-husband-relationship children family-relationships duringcreditsstinger Pete Debbie turn 40 kid hate business fail verge lose house relationship threaten fall apart
Old Dogs,Comedy Family japanese camp best-friend co-worker kids duringcreditsstinger sports-marketing-firm Charlie Dan good friend business partner thirty year Manhattan public relation firm verge huge business deal japanese company week sew contract Dan surprise woman marry drunken impulse nearly year annul day tell father twin seven jail 14 day political protest Dan volunteer tyke tight clueless Charlie help way dad uncle meet kid expectation land account
Underworld: Rise of the Lycans,Fantasy Action Adventure Science-Fiction Thriller prison underworld slavery castle vampire war werewolf battle slave dungeon fang-vamp prequel Underworld film fantasy explain origin feud Vampires Lycans aid secret love Sonja courageous Lucian lead Lycans battle brutal Vampire king Viktor determine break king enslavement people Lucian face Death Dealer army bid lycan independence
License to Wed,Comedy new-love ten-commandments bride bridegroom marriage relation partnership civil-registry-office priest wedding church newly engage Ben Sadie wait start life live happily Sadie family church Reverend Frank bless union pass patent foolproof marriage prep course consist outrageous class outlandish homework assignment outright invasion privacy
The Benchwarmers,Comedy baseball pizza sport paperboy team homerun video-store trio guy try miss opportunity childhood form player baseball team compete standard little league squad
Must Love Dogs,Comedy Romance sister-sister-relationship make-a-match single children teacher dating divorce pet-dog computer-dating internet-dating wooden-boats Sarah Nolan newly divorce woman cautiously rediscover romance enthusiastic misguided help mean family brave series hilarious disastrous mismatch date Sarah begin trust instinct learn matter good idea love
Donnie Brasco,Crime Drama Thriller undercover colombia mafia mobster dirty-cop informant stealing-money marriage-counselor shaving-cream playing-cards FBI undercover agent infilitrate mob find identify mafia life expense regular
Resident Evil,Horror Action Science-Fiction undercover mutant dystopia conspiracy zombie based-on-video-game virus leak secret facility turn resident researcher ravenous zombie lab animal mutate hound hell government send elite military task force contain outbreak Alice Rain charge lead mission hour pathogen airborne infect world
Poltergeist,Horror medium ghostbuster poltergeist haunted-house dying-and-death family-relationships good-vs-evil paranormal-phenomena power-of-goodness parent-child-bond haunted Steve Freeling live wife Diane child Dana Robbie Carol Anne Southern California sell house company build neighborhood start odd occurrence broken dish furniture realize truly evil haunt home Steve team parapsychologist lead Dr. Lesh help late
The Ladykillers,Comedy Crime Thriller church-choir hiding-place garbage duringcreditsstinger eccentric charming southern professor crew pose band order rob casino nose unsuspecting landlord sharp old woman
Max Payne,Action assassin based-on-video-game aftercreditsstinger come solve series murder New York City dea agent family slay conspiracy assassin avenge sister death duo hunt police mob ruthless corporation
In Time,Action Thriller Science-Fiction bank future time dystopia race-against-time immortality on-the-run class-differences cops-and-robbers  rich-vs-poor distant future age gene switch avoid overpopulation time currency way people pay luxury necessity rich live forever rest try negotiate immortality poor young man come fortune time late help mother die end run corrupt police force know time keeper
The Back-Up Plan,Comedy Romance kiss sperm-bank romantic-comedy male-female-relationship doctor pregnancy single-mother artificial-insemination motherhood duringcreditsstinger Zoe tire look Mr. Right decide baby day artificially inseminate meet Stan search life Zoe figure life dream fit
Something Borrowed,Comedy Drama Romance new-york alcohol based-on-novel secret cheating birthday destroy friends crush lawyer best-friend wedding pregnancy relationship celebration roses lying flashback engaged loyal liaison confidant Rachel Ginnifer Goodwin successful attorney loyal generous friend single drink 30th birthday celebration Rachel unexpectedly fall bed longtime crush Dex happen engage good friend Darcy Kate Hudson ramification liaison threaten destroy woman lifelong friendship Ethan John Krasinski Rachel confidant harbor potentially explosive secret
Black Knight,Adventure Comedy Fantasy england black-people medallion castle time-travel leap-in-time knight impostor king middle-ages imposture medieval-times Martin Lawrence play Jamal employee Medieval World amusement park sustain blow head awaken find 14th century England
The Bad News Bears,Comedy Family baseball sport little-league age luck ex minor leaguer coach team misfit ultra competitive California little league
Street Fighter,Action Adventure Thriller dictator martial-arts hostage liberation-of-hostage hostage-taking street-fighter united-nations based-on-video-game Col Guile martial art hero fight tyranny Dictator M. Bison cohort
The Pianist,Drama War individual resistance radio-station war-crimes loss-of-family child-murderer hunger world-war-ii prisoners-of-war homeland deportation hiding-place ghetto-riot jew-persecution liberation warsaw-ghetto polish-resistance nazis biography classical-music panzer pianist Pianist film adapt biography Wladyslaw Szpilman jewish polish pianist second world war live hide miraculously Warsaw having terrible tragedy film Roman Polanski
The Nativity Story,Drama History jesus-christ bible three-kings archangel-gabriel christian blessed-hope wise-men woman-director Mary Joseph hard journey Bethlehem blessed event retelling Nativity story meticulously research visually lush adaptation biblical tale follow pair arduous path arrival small village find shelter quiet manger Jesus bear
House of Wax,Horror american-football traffic-jam remake murder suspense wax-museum teenager group-of-friends ghost-town wax group unwitting teen strand near strange wax museum soon fight survive exhibit
Closer,Drama Romance father-son-relationship love-at-first-sight photographer loss-of-lover cheating lie forbidden-love tea lover kiss photography secret-love times-square liar sexchat based-on-play death-of-father falling-in-love witty romantic dangerous love story chance meeting instant attraction casual betrayal couple disintegrate begin destructive adulterous affair
J. Edgar,Drama Crime History biography historical-figure fbi-director face law enforcement America 50 year J. Edgar Hoover fear admire revile revere close door hold secret destroy image career life
Mirrors,Horror Mystery Thriller schizophrenia night-watchman subway hallucination alcoholism ex-cop possession morgue rural-setting medication demon psychiatrist mirror estranged-wife nypd evil newspaper-clipping ex cop family target evil force use mirror gateway home
Queen of the Damned,Drama Fantasy Horror queen rock-star secret-society vampire light bite music spontaneous-combustion fatal-attraction fang-vamp Lestat de Lioncourt awaken slumber bored existence generation new Rock God course time arise Akasha queen Vampires Dammed want immortal fame fellow vampire want eternally dead betrayal Queen want King reach shall win
Predator 2,Science-Fiction Action Thriller predator war-on-drugs extraterrestrial-technology los-angeles invisible year band mercenary battle vicious alien invisible creature world return Earth time draw gang rule ravage city Los Angeles start murder drug dealer detective lieutenant Mike Harrigan police force set capture creature ignore warning mysterious government agent stay away
Untraceable,Drama suicide fbi kidnapping snuff sadism investigation police psychopath webcam website murder serial-killer internet torture violence voyeur special Agent Jennifer Marsh Diane Lane work elite division FBI dedicate fight cybercrime think particularly sadistic criminal arise Internet tech savvy killer post live feed crime website hit site fast victim die Marsh team find elusive killer time run
Blast from the Past,Comedy Romance isolation atomic-bomb bunker shelter follow bomb scare 1960 lock Webers bomb shelter 35 year Adam venture forth Los Angeles obtain food supply family non mutant wife
Flash Gordon,Science-Fiction emperor solar-eclipse prince tv-duel fighter deception hood scientist sword-and-planet football player friend travel planet Mongo find fight tyrant Ming Merciless save Earth
Jersey Girl,Comedy Romance yuppie daughter loss-of-wife Ollie Trinke young suave music publicist new wife baby way life deal bum hand suddenly face single fatherhood defunct career father bounce new love courage instill daughter
